Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-10 22-13-50,diff_transformer_attn,scooping_powder,1,1,,,1,0,Shaky
2025-09-10 22-14-31,diff_transformer_attn,scooping_powder,2,1,,,1,0,Shaky
2025-09-10 22-15-11,diff_transformer_attn,scooping_powder,3,0,0,0,0,0,Shaky
2025-09-10 22-17-21,diff_transformer_attn,scooping_powder,4,0,0,0,0,0,Shaky
2025-09-10 22-19-27,diff_transformer_attn,scooping_powder,5,1,,,1,0,Shaky
2025-09-10 22-20-08,diff_transformer_attn,scooping_powder,6,0,1,,1,0,Shaky
2025-09-10 22-21-40,diff_transformer_attn,scooping_powder,7,0,0,0,0,0,Shaky
2025-09-10 22-24-06,diff_transformer_attn,scooping_powder,8,1,,,1,0,Shaky
2025-09-10 22-24-54,diff_transformer_attn,scooping_powder,9,0,0,0,0,0,Shaky
2025-09-10 22-27-04,diff_transformer_attn,scooping_powder,10,1,,,1,0,Shaky
2025-09-10 22-27-45,diff_transformer_attn,scooping_powder,11,1,,,1,0,Shaky
2025-09-10 22-28-26,diff_transformer_attn,scooping_powder,12,1,,,1,0,Shaky
2025-09-10 22-29-07,diff_transformer_attn,scooping_powder,13,0,0,0,0,0,Shaky
2025-09-10 22-31-27,diff_transformer_attn,scooping_powder,14,0,0,0,0,0,Shaky
2025-09-10 22-37-47,diff_transformer_ff,scooping_powder,0,0,1,,1,0,Shaky
2025-09-10 22-39-40,diff_transformer_ff,scooping_powder,1,0,0,0,0,0,Shaky
2025-09-10 22-43-05,diff_transformer_ff,scooping_powder,2,0,0,0,0,0,Shaky
2025-09-10 22-45-56,diff_transformer_ff,scooping_powder,3,0,0,0,0,0,Shaky
2025-09-10 22-48-49,diff_transformer_ff,scooping_powder,4,0,0,0,0,0,Shaky
2025-09-10 22-51-42,diff_transformer_ff,scooping_powder,5,0,0,0,0,0,Shaky
2025-09-10 22-54-10,diff_transformer_ff,scooping_powder,6,0,0,0,0,0,Shaky
2025-09-10 22-56-40,diff_transformer_ff,scooping_powder,7,0,0,0,0,0,Shaky
2025-09-10 22-59-36,diff_transformer_ff,scooping_powder,8,0,0,0,0,0,Shaky
2025-09-10 23-01-48,diff_transformer_ff,scooping_powder,9,0,0,0,0,0,Shaky
2025-09-10 23-04-07,diff_transformer_ff,scooping_powder,10,0,1,,1,0,Shaky
2025-09-10 23-05-35,diff_transformer_ff,scooping_powder,11,0,0,0,0,0,Shaky
2025-09-10 23-07-43,diff_transformer_ff,scooping_powder,12,0,0,0,0,0,Shaky
2025-09-10 23-09-55,diff_transformer_ff,scooping_powder,13,1,,,1,0,Shaky
2025-09-10 23-10-35,diff_transformer_ff,scooping_powder,14,0,0,0,0,0,Shaky
2025-09-10 23-15-10,gru,scooping_powder,0,1,,,1,1,Looks pretty good
2025-09-10 23-15-51,gru,scooping_powder,1,0,0,0,0,1,Looks pretty good
2025-09-10 23-18-01,gru,scooping_powder,2,1,,,1,1,Looks pretty good
2025-09-10 23-18-41,gru,scooping_powder,3,0,0,0,0,1,Looks pretty good
2025-09-10 23-21-02,gru,scooping_powder,4,0,0,0,0,1,Looks pretty good
2025-09-10 23-23-13,gru,scooping_powder,5,0,1,,1,1,Looks pretty good
2025-09-10 23-24-42,gru,scooping_powder,6,0,0,0,0,1,Looks pretty good
2025-09-10 23-26-54,gru,scooping_powder,7,1,,,1,1,Looks pretty good
2025-09-10 23-27-39,gru,scooping_powder,8,1,,,1,1,Looks pretty good
2025-09-10 23-28-20,gru,scooping_powder,9,0,0,0,0,1,Looks pretty good
2025-09-10 23-31-16,gru,scooping_powder,10,0,0,0,0,1,Looks pretty good
2025-09-10 23-33-38,gru,scooping_powder,11,0,0,0,0,1,Looks pretty good
2025-09-10 23-35-48,gru,scooping_powder,12,1,,,1,1,Looks pretty good
2025-09-10 23-36-28,gru,scooping_powder,13,1,,,1,1,Looks pretty good
2025-09-10 23-37-08,gru,scooping_powder,14,1,,,1,1,Looks pretty good
2025-09-10 23-38-36,gru_stack,scooping_powder,0,0,0,0,0,1,Looks pretty good
2025-09-10 23-40-53,gru_stack,scooping_powder,1,0,0,0,0,1,Looks pretty good
2025-09-10 23-43-14,gru_stack,scooping_powder,2,0,0,0,0,1,Looks pretty good
2025-09-10 23-45-30,gru_stack,scooping_powder,3,0,0,0,0,1,Looks pretty good
2025-09-10 23-47-45,gru_stack,scooping_powder,4,0,0,0,0,1,Looks pretty good
2025-09-10 23-49-46,gru_stack,scooping_powder,5,1,,,1,1,Looks pretty good
2025-09-10 23-50-27,gru_stack,scooping_powder,6,0,0,0,0,1,Looks pretty good
2025-09-10 23-52-51,gru_stack,scooping_powder,7,0,0,0,0,1,Looks pretty good
2025-09-10 23-55-06,gru_stack,scooping_powder,8,1,,,1,1,Looks pretty good
2025-09-10 23-55-46,gru_stack,scooping_powder,9,1,,,1,1,Looks pretty good
2025-09-10 23-56-28,gru_stack,scooping_powder,10,1,,,1,1,Looks pretty good
2025-09-10 23-57-12,gru_stack,scooping_powder,11,1,,,1,1,Looks pretty good
2025-09-10 23-57-52,gru_stack,scooping_powder,12,1,,,1,1,Looks pretty good
2025-09-10 23-58-32,gru_stack,scooping_powder,13,1,,,1,1,Looks pretty good
2025-09-11 00-01-26,gru_stack,scooping_powder,14,1,,,1,1,Looks pretty good
2025-09-11 00-02-05,linoss_im,scooping_powder,0,1,,,1,1,Looks pretty good
2025-09-11 00-02-45,linoss_im,scooping_powder,1,0,0,0,0,1,Looks pretty good
2025-09-11 00-05-05,linoss_im,scooping_powder,2,1,,,1,1,Looks pretty good
